date,max_temp,min_temp
2021-08-01,22.7,20.3
2021-08-02,22.9,20.7
2021-08-03,24.6,20.9
2021-08-04,25.0,20.3
2021-08-05,25.9,20.6
2021-08-06,25.9,20.3
2021-08-07,25.3,19.8
2021-08-08,24.8,20.0
2021-08-09,24.8,19.1
2021-08-10,23.8,19.4
2021-08-11,23.5,19.8
2021-08-12,24.9,19.7
2021-08-13,24.9,20.7
2021-08-14,25.7,19.3
2022-08-01,24.9,20.3
2022-08-02,25.7,19.5
2022-08-03,24.9,20.1
2022-08-04,24.1,18.9
2022-08-05,24.7,18.9
2022-08-06,24.0,20.3
2022-08-07,24.2,19.8
2022-08-08,23.9,20.0
2022-08-09,24.5,20.3
2022-08-10,25.6,20.8
2022-08-11,25.5,20.8
2022-08-12,25.9,20.4
2022-08-13,26.3,19.6
2022-08-14,25.7,19.8
2023-08-01,26.3,18.8
2023-08-02,25.7,19.8
2023-08-03,24.6,19.6
2023-08-04,23.6,19.3
2023-08-05,24.2,20.2
2023-08-06,24.6,19.6
2023-08-07,24.3,18.3
2023-08-08,23.9,18.8
2023-08-09,23.9,18.6
2023-08-10,24.5,17.7
2023-08-11,24.4,17.8
2023-08-12,23.9,17.9
2023-08-13,24.5,18.9
2023-08-14,24.3,18.8
2024-08-01,25.7,20.3
2024-08-02,25.5,18.7
2024-08-03,24.6,20.1
2024-08-04,24.4,19.2
2024-08-05,23.6,19.6
2024-08-06,24.5,20.2
2024-08-07,23.6,20.3
2024-08-08,23.1,20.3
2024-08-09,24.6,19.5
2024-08-10,23.9,18.6
2024-08-11,23.7,17.6
2024-08-12,23.9,19.7
2024-08-13,24.3,18.9
2024-08-14,23.9,18.5
2025-08-01,25.3,20.2
2025-08-02,25.9,20.5
2025-08-03,25.6,20.4
2025-08-04,25.3,20.1
2025-08-05,24.7,19.0
2025-08-06,24.8,18.8
2025-08-07,25.6,20.1
2025-08-08,24.8,20.3
2025-08-09,24.7,20.1
2025-08-10,24.9,19.9
2025-08-11,24.9,20.1
2025-08-12,24.4,19.1
2025-08-13,23.8,18.7
2025-08-14,22.7,18.7
